promo_id,promo_name,start_date,end_date,discount_pct
PRM01,New Year Sale,2023-01-10,2023-01-25,0.15
PRM02,Spring Blast,2023-04-03,2023-04-16,0.2
PRM03,Summer Clearance 23,2023-07-15,2023-08-05,0.25
PRM04,Black Friday 23,2023-11-20,2023-11-27,0.3
PRM05,Holiday 23,2023-12-15,2023-12-31,0.2
PRM06,Valentine Promo,2024-02-05,2024-02-14,0.15
PRM07,Spring Blast 24,2024-04-01,2024-04-14,0.2
PRM08,Summer Clearance 24,2024-07-15,2024-08-04,0.25
PRM09,Back to School,2024-08-20,2024-09-05,0.15
PRM10,Black Friday 24,2024-11-18,2024-11-25,0.3
PRM11,Holiday 24,2024-12-10,2024-12-31,0.2
PRM12,Apparel Flash Sale,2024-03-01,2024-03-10,0.35
